"id","fname","ename","company","bussiness_group","board","name_type","symbol_status","code"
"535","فسلیر","SOLI1","سولیران","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRO1SOLI0001"
"536","فسلیرح","SOLX1","ح . سولیران","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRR1SOLI0101"
"537","فلامی","LAMI1","لامیران","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRO1LAMI0001"
"538","فلامیح","LAMX1","ح . لامیران","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRR1LAMI0101"
"539","فلوله","LMIR1","لوله و ماشین‌سازی ایران","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1LMIR0001"
"540","فلولهح","LMIX1","ح . لوله و ماشین‌سازی ایران","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1LMIR0101"
"541","فمتال","PMET1","پارس متال","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1PMET0001"
"542","فمتالح","PMEX1","ح . پارس متال","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1PMET0101"
"543","فمراد","ALMR1","آلومراد","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1ALMR0001"
"544","فمرادح","ALMX1","ح . آلومراد","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1ALMR0101"
"545","فملی","MSMI1","ملی صنایع مس ایران","فلزات اساسی","تابلو اصلی","خاص","فعال","IRO1MSMI0001"
"546","فملیح","MSMX1","ح . ملی صنایع مس ایران","فلزات اساسی","تابلو اصلی","خاص","فعال","IRR1MSMI0101"
"547","فنرژی","ENAZ1","گسترش صنایع انرژی آذر آب","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRO1ENAZ0001"
"548","فنرژیح","ENAX1","ح . گسترش صنایع انرژی آذر آب","ساخت محصولات فلزی","فهرست اولیه","خاص","فعال","IRR1ENAZ0101"
"549","فنوال","NALM1","نورد آلومینیوم","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1NALM0001"
"550","فنوالح","NALX1","ح . نورد آلومینیوم","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1NALM0101"
"551","فنورد","NGFO1","نورد وقطعات فولادی","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1NGFO0001"
"552","فنوردح","NGFX1","ح . نورد وقطعات فولادی","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1NGFO0101"
"553","فوکا","FVAN1","فولاد کاویان","فلزات اساسی","فهرست اولیه","خاص","فعال","IRO1FVAN0001"
"554","فوکاح","FVAX1","ح . فولاد کاویان","فلزات اساسی","فهرست اولیه","خاص","فعال","IRR1FVAN0101"
"555","فولاد","FOLD1","فولاد مبارکه اصفهان","فلزات اساسی","تابلو اصلی","عام2","فعال","IRO1FOLD0001"
"556","فولادح","FOLX1","ح . فولاد مبارکه اصفهان","فلزات اساسی","تابلو اصلی","خاص","فعال","IRR1FOLD0101"
"557","فولاژ","FAIR1","فولاد آلیاژی ایران","فلزات اساسی","تابلو فرعی","خاص","فعال","IRO1FAIR0001"
"558","فولاژح","FAIX1","ح . فولاد آلیاژی ایران","فلزات اساسی","تابلو فرعی","خاص","فعال","IRR1FAIR0101"
"559","قپارس","GPRS1","قند پارس","قند و شکر","فهرست اولیه","خاص","فعال","IRO1GPRS0001"
"560","قپارسح","GPRX1","ح . قند پارس","قند و شکر","فهرست اولیه","خاص","فعال","IRR1GPRS0101"
"561","قپیرا","GPSH1","فرآورده‌های غدایی و قند پیرانشهر","قند و شکر","فهرست اولیه","خاص","فعال","IRO1GPSH0001"
"562","قپیراح","GPSX1","ح . قند پیرانشهر","قند و شکر","فهرست اولیه","خاص","فعال","IRR1GPSH0101"
"563","قثابت","GSBE1","قند ثابت خراسان","قند و شکر","فهرست اولیه","خاص","فعال","IRO1GSBE0001"
"564","قثابتح","GSBX1","ح . قند ثابت خراسان","قند و شکر","فهرست اولیه","خاص","فعال","IRR1GSBE0101"
"565","قجام","GTOR1","فرآوردههای غذایی و قند تربت‌جام","قند و شکر","فهرست اولیه","خاص","فعال","IRO1GTOR0001"
"566","قجامح","GTOX1","ح . غذایی و قند تربت‌جام","قند و شکر","فهرست اولیه","خاص","فعال","IRR1GTOR0101"
"567","قرن","GARN1","پدیده شیمی قرن","محصولات شیمیایی","فهرست اولیه","عام1","فعال","IRO1GARN0001"
"568","قزوین","GGAZ1","کارخانجات قند قزوین","قند و شکر","فهرست اولیه","عام1","فعال","IRO1GGAZ0001"
"569","قزوینح","GGAX1","ح . کارخانجات قند قزوین","قند و شکر","فهرست اولیه","خاص","فعال","IRR1GGAZ0101"
"570","قستان","GGOH1","قند قهستان","قند و شکر","فهرست اولیه","خاص","فعال","IRO1GGOH0001"
"571","قستانح","GGOX1","ح . قند قهستان","قند و شکر","فهرست اولیه","خاص","فعال","IRR1GGOH0101"
"572","قستون","GBIS1","قند بیستون","قند و شکر","فهرست اولیه","خاص","فعال","IRO1GBIS0001"
"573","قستونح","GBIX1","ح . قند بیستون","قند و شکر","فهرست اولیه","خاص","فعال","IRR1GBIS0101"
"574","قشرین","GSHI1","قند شیرین خراسان","قند و شکر","فهرست اولیه","خاص","فعال","IRO1GSHI0001"
